GRAPHEME	FROM_ROUNDEDNESS	FROM_HEIGHT	FROM_CENTRALITY	TO_ROUNDEDNESS	TO_HEIGHT	TO_CENTRALITY	ALIAS	EXTRA	NOTE
eä	from_unrounded	from_close-mid	from_front	to_unrounded	to_nearly-open	to_front			
eö	from_unrounded	from_close-mid	from_front	to_rounded	to_open-mid	to_front			
eɤ̃	from_unrounded	from_close-mid	from_front	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
iɔ	from_unrounded	from_close	from_front	to_rounded	to_open-mid	to_back			
iǝ	from_unrounded	from_close	from_front	to_unrounded	to_mid	to_central			
iɛ	from_unrounded	from_close	from_front	to_unrounded	to_open-mid	to_front			
iɯ	from_unrounded	from_close	from_front	to_unrounded	to_close	to_back			
iʉ	from_unrounded	from_close	from_front	to_rounded	to_close	to_central			
iɑ	from_unrounded	from_close	from_front	to_unrounded	to_open	to_back			
iɔ̃	from_unrounded	from_close	from_front	to_rounded	to_open-mid	to_back		to_nasalization:to_nasalized	
iɤ	from_unrounded	from_close	from_front	to_unrounded	to_close-mid	to_back			
iõ	from_unrounded	from_close	from_front	to_rounded	to_close-mid	to_back		to_nasalization:to_nasalized	
iɒ	from_unrounded	from_close	from_front	to_rounded	to_open	to_back			
iɛ̃	from_unrounded	from_close	from_front	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
iɨ	from_unrounded	from_close	from_front	to_unrounded	to_close	to_central			
iü	from_unrounded	from_close	from_front	to_rounded	to_close	to_front			
iã	from_unrounded	from_close	from_front	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
iä	from_unrounded	from_close	from_front	to_unrounded	to_nearly-open	to_front			
iö	from_unrounded	from_close	from_front	to_rounded	to_open-mid	to_front			
iɤ̃	from_unrounded	from_close	from_front	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
iẽ	from_unrounded	from_close	from_front	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
ɔǝ	from_rounded	from_open-mid	from_back	to_unrounded	to_mid	to_central			
ɔɛ	from_rounded	from_open-mid	from_back	to_unrounded	to_open-mid	to_front			
ɔɯ	from_rounded	from_open-mid	from_back	to_unrounded	to_close	to_back			
ɔʉ	from_rounded	from_open-mid	from_back	to_rounded	to_close	to_central			
ɔɑ	from_rounded	from_open-mid	from_back	to_unrounded	to_open	to_back			
ɔɤ	from_rounded	from_open-mid	from_back	to_unrounded	to_close-mid	to_back			
ɔõ	from_rounded	from_open-mid	from_back	to_rounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ɔɒ	from_rounded	from_open-mid	from_back	to_rounded	to_open	to_back			
ɔɛ̃	from_rounded	from_open-mid	from_back	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
ɔɨ	from_rounded	from_open-mid	from_back	to_unrounded	to_close	to_central			
ɔü	from_rounded	from_open-mid	from_back	to_rounded	to_close	to_front			
ɔã	from_rounded	from_open-mid	from_back	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
ɔä	from_rounded	from_open-mid	from_back	to_unrounded	to_nearly-open	to_front			
ɔö	from_rounded	from_open-mid	from_back	to_rounded	to_open-mid	to_front			
ɔɤ̃	from_rounded	from_open-mid	from_back	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ɔẽ	from_rounded	from_open-mid	from_back	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
ǝɛ	from_unrounded	from_mid	from_central	to_unrounded	to_open-mid	to_front			
ǝɯ	from_unrounded	from_mid	from_central	to_unrounded	to_close	to_back			
ǝʉ	from_unrounded	from_mid	from_central	to_rounded	to_close	to_central			
ǝɑ	from_unrounded	from_mid	from_central	to_unrounded	to_open	to_back			
ǝɔ̃	from_unrounded	from_mid	from_central	to_rounded	to_open-mid	to_back		to_nasalization:to_nasalized	
ǝɤ	from_unrounded	from_mid	from_central	to_unrounded	to_close-mid	to_back			
ǝõ	from_unrounded	from_mid	from_central	to_rounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ǝɒ	from_unrounded	from_mid	from_central	to_rounded	to_open	to_back			
ǝɛ̃	from_unrounded	from_mid	from_central	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
ǝɨ	from_unrounded	from_mid	from_central	to_unrounded	to_close	to_central			
ǝü	from_unrounded	from_mid	from_central	to_rounded	to_close	to_front			
ǝã	from_unrounded	from_mid	from_central	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
ǝä	from_unrounded	from_mid	from_central	to_unrounded	to_nearly-open	to_front			
ǝö	from_unrounded	from_mid	from_central	to_rounded	to_open-mid	to_front			
ǝɤ̃	from_unrounded	from_mid	from_central	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ǝẽ	from_unrounded	from_mid	from_central	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
ɛɯ	from_unrounded	from_open-mid	from_front	to_unrounded	to_close	to_back			
ɛʉ	from_unrounded	from_open-mid	from_front	to_rounded	to_close	to_central			
ɛɑ	from_unrounded	from_open-mid	from_front	to_unrounded	to_open	to_back			
ɛɔ̃	from_unrounded	from_open-mid	from_front	to_rounded	to_open-mid	to_back		to_nasalization:to_nasalized	
ɛɤ	from_unrounded	from_open-mid	from_front	to_unrounded	to_close-mid	to_back			
ɛõ	from_unrounded	from_open-mid	from_front	to_rounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ɛɒ	from_unrounded	from_open-mid	from_front	to_rounded	to_open	to_back			
ɛɨ	from_unrounded	from_open-mid	from_front	to_unrounded	to_close	to_central			
ɛü	from_unrounded	from_open-mid	from_front	to_rounded	to_close	to_front			
ɛã	from_unrounded	from_open-mid	from_front	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
ɛä	from_unrounded	from_open-mid	from_front	to_unrounded	to_nearly-open	to_front			
ɛö	from_unrounded	from_open-mid	from_front	to_rounded	to_open-mid	to_front			
ɛɤ̃	from_unrounded	from_open-mid	from_front	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ɛẽ	from_unrounded	from_open-mid	from_front	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
ɯʉ	from_unrounded	from_close	from_back	to_rounded	to_close	to_central			
ɯɑ	from_unrounded	from_close	from_back	to_unrounded	to_open	to_back			
ɯɔ̃	from_unrounded	from_close	from_back	to_rounded	to_open-mid	to_back		to_nasalization:to_nasalized	
ɯɤ	from_unrounded	from_close	from_back	to_unrounded	to_close-mid	to_back			
ɯõ	from_unrounded	from_close	from_back	to_rounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ɯɒ	from_unrounded	from_close	from_back	to_rounded	to_open	to_back			
ɯɛ̃	from_unrounded	from_close	from_back	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
ɯɨ	from_unrounded	from_close	from_back	to_unrounded	to_close	to_central			
ɯü	from_unrounded	from_close	from_back	to_rounded	to_close	to_front			
ɯã	from_unrounded	from_close	from_back	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
ɯä	from_unrounded	from_close	from_back	to_unrounded	to_nearly-open	to_front			
ɯö	from_unrounded	from_close	from_back	to_rounded	to_open-mid	to_front			
ɯɤ̃	from_unrounded	from_close	from_back	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ɯẽ	from_unrounded	from_close	from_back	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
ʉɑ	from_rounded	from_close	from_central	to_unrounded	to_open	to_back			
ʉɔ̃	from_rounded	from_close	from_central	to_rounded	to_open-mid	to_back		to_nasalization:to_nasalized	
ʉɤ	from_rounded	from_close	from_central	to_unrounded	to_close-mid	to_back			
ʉõ	from_rounded	from_close	from_central	to_rounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ʉɒ	from_rounded	from_close	from_central	to_rounded	to_open	to_back			
ʉɛ̃	from_rounded	from_close	from_central	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
ʉɨ	from_rounded	from_close	from_central	to_unrounded	to_close	to_central			
ʉü	from_rounded	from_close	from_central	to_rounded	to_close	to_front			
ʉã	from_rounded	from_close	from_central	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
ʉä	from_rounded	from_close	from_central	to_unrounded	to_nearly-open	to_front			
ʉö	from_rounded	from_close	from_central	to_rounded	to_open-mid	to_front			
ʉɤ̃	from_rounded	from_close	from_central	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ʉẽ	from_rounded	from_close	from_central	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
ɑɔ̃	from_unrounded	from_open	from_back	to_rounded	to_open-mid	to_back		to_nasalization:to_nasalized	
ɑɤ	from_unrounded	from_open	from_back	to_unrounded	to_close-mid	to_back			
ɑõ	from_unrounded	from_open	from_back	to_rounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ɑɒ	from_unrounded	from_open	from_back	to_rounded	to_open	to_back			
ɑɛ̃	from_unrounded	from_open	from_back	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
ɑɨ	from_unrounded	from_open	from_back	to_unrounded	to_close	to_central			
ɑü	from_unrounded	from_open	from_back	to_rounded	to_close	to_front			
ɑã	from_unrounded	from_open	from_back	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
ɑä	from_unrounded	from_open	from_back	to_unrounded	to_nearly-open	to_front			
ɑö	from_unrounded	from_open	from_back	to_rounded	to_open-mid	to_front			
ɑɤ̃	from_unrounded	from_open	from_back	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ɑẽ	from_unrounded	from_open	from_back	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
ɔ̃ɤ	from_rounded	from_open-mid	from_back	to_unrounded	to_close-mid	to_back		from_nasalization:from_nasalized	
ɔ̃õ	from_rounded	from_open-mid	from_back	to_rounded	to_close-mid	to_back		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
ɔ̃ɒ	from_rounded	from_open-mid	from_back	to_rounded	to_open	to_back		from_nasalization:from_nasalized	
ɔ̃ɛ̃	from_rounded	from_open-mid	from_back	to_unrounded	to_open-mid	to_front		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
ɔ̃ɨ	from_rounded	from_open-mid	from_back	to_unrounded	to_close	to_central		from_nasalization:from_nasalized	
ɔ̃ü	from_rounded	from_open-mid	from_back	to_rounded	to_close	to_front		from_nasalization:from_nasalized	
ɔ̃ã	from_rounded	from_open-mid	from_back	to_unrounded	to_open	to_front		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
ɔ̃ä	from_rounded	from_open-mid	from_back	to_unrounded	to_nearly-open	to_front		from_nasalization:from_nasalized	
ɔ̃ö	from_rounded	from_open-mid	from_back	to_rounded	to_open-mid	to_front		from_nasalization:from_nasalized	
ɔ̃ɤ̃	from_rounded	from_open-mid	from_back	to_unrounded	to_close-mid	to_back		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
ɔ̃ẽ	from_rounded	from_open-mid	from_back	to_unrounded	to_close-mid	to_front		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
ɤõ	from_unrounded	from_close-mid	from_back	to_rounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ɤɒ	from_unrounded	from_close-mid	from_back	to_rounded	to_open	to_back			
ɤɛ̃	from_unrounded	from_close-mid	from_back	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
ɤɨ	from_unrounded	from_close-mid	from_back	to_unrounded	to_close	to_central			
ɤü	from_unrounded	from_close-mid	from_back	to_rounded	to_close	to_front			
ɤã	from_unrounded	from_close-mid	from_back	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
ɤä	from_unrounded	from_close-mid	from_back	to_unrounded	to_nearly-open	to_front			
ɤö	from_unrounded	from_close-mid	from_back	to_rounded	to_open-mid	to_front			
ɤẽ	from_unrounded	from_close-mid	from_back	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
õɒ	from_rounded	from_close-mid	from_back	to_rounded	to_open	to_back		from_nasalization:from_nasalized	
õɛ̃	from_rounded	from_close-mid	from_back	to_unrounded	to_open-mid	to_front		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
õɨ	from_rounded	from_close-mid	from_back	to_unrounded	to_close	to_central		from_nasalization:from_nasalized	
õü	from_rounded	from_close-mid	from_back	to_rounded	to_close	to_front		from_nasalization:from_nasalized	
õã	from_rounded	from_close-mid	from_back	to_unrounded	to_open	to_front		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
õä	from_rounded	from_close-mid	from_back	to_unrounded	to_nearly-open	to_front		from_nasalization:from_nasalized	
õö	from_rounded	from_close-mid	from_back	to_rounded	to_open-mid	to_front		from_nasalization:from_nasalized	
õɤ̃	from_rounded	from_close-mid	from_back	to_unrounded	to_close-mid	to_back		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
õẽ	from_rounded	from_close-mid	from_back	to_unrounded	to_close-mid	to_front		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
ɒɛ̃	from_rounded	from_open	from_back	to_unrounded	to_open-mid	to_front		to_nasalization:to_nasalized	
ɒɨ	from_rounded	from_open	from_back	to_unrounded	to_close	to_central			
ɒü	from_rounded	from_open	from_back	to_rounded	to_close	to_front			
ɒã	from_rounded	from_open	from_back	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
ɒä	from_rounded	from_open	from_back	to_unrounded	to_nearly-open	to_front			
ɒö	from_rounded	from_open	from_back	to_rounded	to_open-mid	to_front			
ɒɤ̃	from_rounded	from_open	from_back	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ɒẽ	from_rounded	from_open	from_back	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
ɛ̃ɨ	from_unrounded	from_open-mid	from_front	to_unrounded	to_close	to_central		from_nasalization:from_nasalized	
ɛ̃ü	from_unrounded	from_open-mid	from_front	to_rounded	to_close	to_front		from_nasalization:from_nasalized	
ɛ̃ã	from_unrounded	from_open-mid	from_front	to_unrounded	to_open	to_front		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
ɛ̃ä	from_unrounded	from_open-mid	from_front	to_unrounded	to_nearly-open	to_front		from_nasalization:from_nasalized	
ɛ̃ö	from_unrounded	from_open-mid	from_front	to_rounded	to_open-mid	to_front		from_nasalization:from_nasalized	
ɛ̃ɤ̃	from_unrounded	from_open-mid	from_front	to_unrounded	to_close-mid	to_back		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
ɛ̃ẽ	from_unrounded	from_open-mid	from_front	to_unrounded	to_close-mid	to_front		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
ɨü	from_unrounded	from_close	from_central	to_rounded	to_close	to_front			
ɨã	from_unrounded	from_close	from_central	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
ɨä	from_unrounded	from_close	from_central	to_unrounded	to_nearly-open	to_front			
ɨö	from_unrounded	from_close	from_central	to_rounded	to_open-mid	to_front			
ɨɤ̃	from_unrounded	from_close	from_central	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
ɨẽ	from_unrounded	from_close	from_central	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
üã	from_rounded	from_close	from_front	to_unrounded	to_open	to_front		to_nasalization:to_nasalized	
üä	from_rounded	from_close	from_front	to_unrounded	to_nearly-open	to_front			
üö	from_rounded	from_close	from_front	to_rounded	to_open-mid	to_front			
üɤ̃	from_rounded	from_close	from_front	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
üẽ	from_rounded	from_close	from_front	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
ãä	from_unrounded	from_open	from_front	to_unrounded	to_nearly-open	to_front		from_nasalization:from_nasalized	
ãö	from_unrounded	from_open	from_front	to_rounded	to_open-mid	to_front		from_nasalization:from_nasalized	
ãɤ̃	from_unrounded	from_open	from_front	to_unrounded	to_close-mid	to_back		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
ãẽ	from_unrounded	from_open	from_front	to_unrounded	to_close-mid	to_front		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
äö	from_unrounded	from_nearly-open	from_front	to_rounded	to_open-mid	to_front			
äɤ̃	from_unrounded	from_nearly-open	from_front	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
äẽ	from_unrounded	from_nearly-open	from_front	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
öɤ̃	from_rounded	from_open-mid	from_front	to_unrounded	to_close-mid	to_back		to_nasalization:to_nasalized	
öẽ	from_rounded	from_open-mid	from_front	to_unrounded	to_close-mid	to_front		to_nasalization:to_nasalized	
ɤ̃ẽ	from_unrounded	from_close-mid	from_back	to_unrounded	to_close-mid	to_front		from_nasalization:from_nasalized,to_nasalization:to_nasalized	
