GRAPHEME	PHONATION	PLACE	MANNER	ALIAS	EXTRA	NOTE
Zwh	voiced	postalveolar	sibilant-fricative		aspiration:aspirated,labialization:labialized	ʒ
Cwh	voiceless	postalveolar	sibilant-affricate		aspiration:aspirated,labialization:labialized	tʃ
jwh	voiced	postalveolar	sibilant-affricate		aspiration:aspirated,labialization:labialized	dʒ
Twh	voiceless	palatal	stop		aspiration:aspirated,labialization:labialized	c Ɉ
5wh	voiced	palatal	nasal		aspiration:aspirated,labialization:labialized	ɲ
kwh	voiceless	velar	stop		aspiration:aspirated,labialization:labialized	k
gwh	voiced	velar	stop		aspiration:aspirated,labialization:labialized	g
xwh	voiceless	velar	fricative		aspiration:aspirated,labialization:labialized	x ɣ
Nwh	voiced	velar	nasal		aspiration:aspirated,labialization:labialized	ŋ
qwh	voiceless	uvular	stop		aspiration:aspirated,labialization:labialized	q
Gwh	voiced	uvular	stop		aspiration:aspirated,labialization:labialized	ɢ
Xwh	voiceless	uvular	fricative		aspiration:aspirated,labialization:labialized	χ ʁ ħ ʕ
7wh	voiceless	glottal	stop		aspiration:aspirated,labialization:labialized	ʔ
hwh	voiceless	glottal	fricative		aspiration:aspirated,labialization:labialized	h ɦ
lwh	voiced	alveolar	lateral-approximant		aspiration:aspirated,labialization:labialized	l
Lwh	voiced	velar	lateral-approximant		aspiration:aspirated,labialization:labialized	L ɭ ʎ
wwh	voiced	labialized-velar	approximant		aspiration:aspirated,labialization:labialized	w
ywh	voiced	palatal	approximant		aspiration:aspirated,labialization:labialized	j
rwh	voiced	alveolar	trill		aspiration:aspirated,labialization:labialized	r
