GRAPHEME	NAME	BIPA	SOUNDTYPE	GENERATED	ALIAS	NORMALIZED	DATASET	DATATYPE	FREQUENCY	URL	FEATURES	IMAGE	SOUND	NOTE
ɯ̰	creaky unrounded close back vowel	ɯ̰	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɯ̰				
ø̰	creaky rounded close-mid front vowel	ø̰	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ø̰				
ə̰	creaky unrounded mid central vowel	ə̰	vowel				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ə̰				
o̰	creaky rounded close-mid back vowel	o̰	vowel				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=o̰				
ɔ̰	creaky rounded open-mid back vowel	ɔ̰	vowel				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɔ̰				
m̩	syllabic voiced bilabial nasal consonant	m̩	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=m̩				
ʌ̤	breathy unrounded open-mid back vowel	ʌ̤	vowel				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʌ̤				
ɑ̤	breathy unrounded open back vowel	ɑ̤	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɑ̤				
ɨɛ	from unrounded close central to unrounded open-mid front diphthong	ɨɛ	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɨɛ				
ʅ	unrounded close with-frication central vowel	ʅ	vowel				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʅ				
oi	from rounded close-mid back to unrounded close front diphthong	oi	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=oi				
dz̺	voiced apical alveolar sibilant affricate consonant	dz̺	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=dz̺				
ɔ̞	lowered rounded open-mid back vowel	ɔ̞	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɔ̞				
ə̹	more-rounded unrounded mid central vowel	ə̹	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ə̹				
ɛ̞	lowered unrounded open-mid front vowel	ɛ̞	vowel	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɛ̞				
ʔː	long voiceless glottal stop consonant	ʔː	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʔː				
uʌ	from rounded close back to unrounded open-mid back diphthong	uʌ	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=uʌ				
ʊ̯	non-syllabic rounded near-close near-back vowel	ʊ̯	vowel				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ʊ̯				
gʲ	palatalized voiced velar stop consonant	gʲ	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=gʲ				
ɡʲ	palatalized voiced velar stop consonant	gʲ	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɡʲ				
ɪ̯	non-syllabic unrounded near-close near-front vowel	ɪ̯	vowel				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=ɪ̯				
aːi	from long unrounded open front to unrounded close front diphthong	aːi	diphthong	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=aːi				
t̪ʰʷ	labialized aspirated voiceless dental stop consonant	t̪ʷʰ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪ʰʷ				
t̪ʷ	labialized voiceless dental stop consonant	t̪ʷ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪ʷ				
t̪ʼʷ	labialized voiceless dental ejective stop consonant	t̪’ʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪ʼʷ				
t̪s̪ʰʷ	labialized aspirated voiceless dental affricate consonant	tθʷʰ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪s̪ʰʷ				
t̪s̪ʷ	labialized voiceless dental sibilant affricate consonant	ts̪ʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪s̪ʷ				
t̪s̪ʼʷ	labialized voiceless dental ejective sibilant affricate consonant	ts̪’ʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪s̪ʼʷ				
s̪ʷ	labialized voiceless dental sibilant fricative consonant	s̪ʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=s̪ʷ				
z̪ʷ	labialized voiced dental sibilant fricative consonant	z̪ʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=z̪ʷ				
pʼʲ	palatalized voiceless bilabial ejective stop consonant	p’ʲ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=pʼʲ				
t̪ʰʲ	palatalized aspirated voiceless dental stop consonant	t̪ʰʲ	consonant				eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪ʰʲ				
t̪ʼʲ	palatalized voiceless dental ejective stop consonant	t̪’ʲ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪ʼʲ				
t̪ʰʷʲ	palatalized labialized aspirated voiceless dental stop consonant	t̪ʲʷʰ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪ʰʷʲ				
t̪ʷʲ	palatalized labialized voiceless dental stop consonant	t̪ʲʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪ʷʲ				
t̪ʼʷʲ	palatalized labialized voiceless dental ejective stop consonant	t̪’ʲʷ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪ʼʷʲ				
t̪s̪ʲ	palatalized voiceless dental sibilant affricate consonant	ts̪ʲ	consonant		+		eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪s̪ʲ				
t̪s̪ʼʲ	palatalized voiceless dental ejective sibilant affricate consonant	ts̪’ʲ	consonant	+			eurasian	td		http://eurasianphonology.info/search_exact?dialects=True&query=t̪s̪ʼʲ				
