CLTS_NAME	BIPA_GRAPHEME	WIKIPEDIA_URL
devoiced voiced velar implosive consonant	ɠ̊	https://en.wikipedia.org/wiki/Voiceless_velar_implosive
voiced uvular stop consonant	ɢ	https://en.wikipedia.org/wiki/voiced_uvular_plosive
voiced uvular affricate consonant	ɢʁ	https://en.wikipedia.org/wiki/voiced_uvular_affricate
voiced uvular flap consonant	ɢ̆	https://en.wikipedia.org/wiki/Uvular_flap
voiced velar fricative consonant	ɣ	https://en.wikipedia.org/wiki/voiced_velar_fricative
labialized voiced velar fricative consonant	ɣʷ	https://en.wikipedia.org/wiki/labialized_voiced_velar_fricative
unrounded close-mid back vowel	ɤ	https://en.wikipedia.org/wiki/Close-mid_back_unrounded_vowel
unrounded mid back vowel	ɤ̞	https://en.wikipedia.org/wiki/Mid_back_unrounded_vowel
voiced labialized-palatal approximant consonant	ɥ	https://en.wikipedia.org/wiki/Labialized_palatal_approximant
devoiced voiced labialized-palatal approximant consonant	ɥ̊	https://en.wikipedia.org/wiki/Voiceless_labialized_palatal_approximant
voiced glottal fricative consonant	ɦ	https://en.wikipedia.org/wiki/voiced_glottal_fricative
voiceless palatal-velar fricative consonant	ɧ	https://en.wikipedia.org/wiki/voiceless_palatal-velar_fricative
unrounded close central vowel	ɨ	https://en.wikipedia.org/wiki/Close_central_unrounded_vowel
unrounded near-close near-front vowel	ɪ	https://en.wikipedia.org/wiki/Near-close_near-front_unrounded_vowel
unrounded near-close central vowel	ɪ̈	https://en.wikipedia.org/wiki/Near-close_central_unrounded_vowel
voiceless alveolar lateral fricative consonant	ɬ	https://en.wikipedia.org/wiki/Voiceless_alveolar_lateral_fricative
voiceless alveolar ejective lateral fricative consonant	ɬʼ	https://en.wikipedia.org/wiki/Alveolar_lateral_ejective_fricative
voiced retroflex lateral approximant consonant	ɭ	https://en.wikipedia.org/wiki/Retroflex_lateral_approximant
devoiced voiced retroflex lateral approximant consonant	ɭ̊	https://en.wikipedia.org/wiki/Voiceless_retroflex_lateral_approximant
voiceless retroflex lateral fricative consonant	ɭ̊˔	https://en.wikipedia.org/wiki/Voiceless_retroflex_lateral_fricative
voiced alveolar lateral fricative consonant	ɮ 	https://en.wikipedia.org/wiki/Voiced_alveolar_lateral_fricative
unrounded close back vowel	ɯ	https://en.wikipedia.org/wiki/Close_back_unrounded_vowel
unrounded near-close near-back vowel	ɯ̽	https://en.wikipedia.org/wiki/Near-close_near-back_unrounded_vowel
voiced velar approximant consonant	ɰ	https://en.wikipedia.org/wiki/voiced_velar_approximant
devoiced voiced velar approximant consonant	ɰ̊	https://en.wikipedia.org/wiki/Voiceless_velar_approximant
voiced labio-dental nasal consonant	ɱ	https://en.wikipedia.org/wiki/voiced_labiodental_nasal
voiced palatal nasal consonant	ɲ	https://en.wikipedia.org/wiki/voiced_palatal_nasal
devoiced voiced palatal nasal consonant	ɲ̊	https://en.wikipedia.org/wiki/Voiceless_palatal_nasal
voiced retroflex nasal consonant	ɳ	https://en.wikipedia.org/wiki/voiced_retroflex_nasal
devoiced voiced retroflex nasal consonant	ɳ̊	https://en.wikipedia.org/wiki/Voiceless_retroflex_nasal
voiced uvular nasal consonant	ɴ	https://en.wikipedia.org/wiki/voiced_uvular_nasal
rounded close-mid central vowel	ɵ	https://en.wikipedia.org/wiki/Close-mid_central_rounded_vowel
rounded mid central vowel	ɵ̞	https://en.wikipedia.org/wiki/Mid_central_vowel#Mid_central_rounded_vowel
rounded open front vowel	ɶ	https://en.wikipedia.org/wiki/Open_front_rounded_vowel
voiceless bilabial fricative consonant	ɸ	https://en.wikipedia.org/wiki/voiceless_bilabial_fricative
voiced alveolar approximant consonant	ɹ	https://en.wikipedia.org/wiki/voiced_alveolar_approximant
voiced post-alveolar approximant consonant	ɹ̠	https://en.wikipedia.org/wiki/postalveolar_approximant
voiced postalveolar non-sibilant fricative consonant	ɹ̠˔	https://en.wikipedia.org/wiki/Voiced_postalveolar_non-sibilant_fricative
voiceless postalveolar non-sibilant fricative consonant	ɹ̠̊˔	https://en.wikipedia.org/wiki/Voiceless_postalveolar_non-sibilant_fricative
devoiced voiced alveolar approximant consonant	ɹ̥	https://en.wikipedia.org/wiki/Voiceless_alveolar_approximant
voiced alveoalr lateral flap consonant	ɺ 	https://en.wikipedia.org/wiki/Alveolar_lateral_flap
voiced retroflex lateral flap consonant	ɺ̢	https://en.wikipedia.org/wiki/Retroflex_lateral_flap
voiced retroflex approximant consonant	ɻ	https://en.wikipedia.org/wiki/voiced_retroflex_approximant
voiced retroflex non-sibilant fricative consonant	ɻ˔	https://en.wikipedia.org/wiki/Voiced_retroflex_non-sibilant_fricative
devoiced voiced retroflex approximant consonant	ɻ̊	https://en.wikipedia.org/wiki/Voiceless_retroflex_approximant
voiced retroflex tap consonant	ɽ	https://en.wikipedia.org/wiki/voiced_retroflex_flap
voiced retroflex trill consonant	ɽɽ	https://en.wikipedia.org/wiki/Retroflex_trill
devoiced voiced retroflex tap consonant	ɽ̊	https://en.wikipedia.org/wiki/Voiceless_retroflex_flap
voiceless retroflex trill consonant	ɽ̊ɽ̊	https://en.wikipedia.org/wiki/Voiceless_retroflex_trill
voiced alveolar tap consonant	ɾ	https://en.wikipedia.org/wiki/Alveolar_flap
devoiced voiced alveolar tap consonant	ɾ̥	https://en.wikipedia.org/wiki/Voiceless_alveolar_flap
voiced linguo-labial flap consonant	ɾ̼	https://en.wikipedia.org/wiki/Linguolabial_tap
voiced uvular trill consonant	ʀ	https://en.wikipedia.org/wiki/voiced_uvular_trill
voiceless uvular trill consonant	ʀ̥ 	https://en.wikipedia.org/wiki/Voiceless_uvular_trill
voiced uvular fricative consonant	ʁ	https://en.wikipedia.org/wiki/voiced_uvular_fricative
voiced uvular approximant consonant	ʁ̞	https://en.wikipedia.org/wiki/voiced_uvular_approximant
voiceless retroflex sibilant fricative consonant	ʂ	https://en.wikipedia.org/wiki/Voiceless_retroflex_fricative
voiceless retroflex ejective sibilant fricative consonant	ʂʼ	https://en.wikipedia.org/wiki/Retroflex_ejective_fricative
voiceless post-alveolar sibilant fricative consonant	ʃ	https://en.wikipedia.org/wiki/Voiceless_postalveolar_fricative
voiceless post-alveolar ejective sibilant fricative consonant	ʃʼ	https://en.wikipedia.org/wiki/Palato-alveolar_ejective_fricative
voiced palatal implosive consonant	ʄ	https://en.wikipedia.org/wiki/voiced_palatal_implosive
devoiced voiced palatal implosive consonant	ʄ̊	https://en.wikipedia.org/wiki/Voiceless_palatal_implosive
voiceless retroflex stop consonant	ʈ	https://en.wikipedia.org/wiki/voiceless_retroflex_plosive
voiceless retroflex sibilant affricate consonant	ʈʂ	https://en.wikipedia.org/wiki/Voiceless_retroflex_affricate
voiceless retroflex ejective sibilant affricate consonant	ʈʂʼ	https://en.wikipedia.org/wiki/Retroflex_ejective_affricate
voiceless retroflex ejective stop consonant	ʈʼ	https://en.wikipedia.org/wiki/Retroflex_ejective
rounded close central vowel	ʉ	https://en.wikipedia.org/wiki/Close_central_rounded_vowel
rounded near-close near-back vowel	ʊ	https://en.wikipedia.org/wiki/Near-close_near-back_rounded_vowel
rounded near-close central vowel	ʊ̈	https://en.wikipedia.org/wiki/Near-close_central_rounded_vowel
voiced labio-dental approximant consonant	ʋ	https://en.wikipedia.org/wiki/voiced_labiodental_approximant
devoiced voiced labio-dental approximant consonant	ʋ̥	https://en.wikipedia.org/wiki/Voiceless_labiodental_approximant
unrounded open-mid back vowel	ʌ	https://en.wikipedia.org/wiki/Open-mid_back_unrounded_vowel
voiceless labialized-velar approximant consonant	ʍ	https://en.wikipedia.org/wiki/voiceless_labiovelar_fricative
voiced palatal lateral approximant consonant	ʎ	https://en.wikipedia.org/wiki/Palatal_lateral_approximant
voiced palatal lateral fricative consonant	ʎ̝ 	https://en.wikipedia.org/wiki/Voiced_palatal_lateral_fricative
voiceless palatal lateral approximant consonant	ʎ̥ 	https://en.wikipedia.org/wiki/Voiceless_palatal_lateral_approximant
voiceless palatal lateral fricative consonant	ʎ̥˔	https://en.wikipedia.org/wiki/Voiceless_palatal_lateral_fricative
voiced palatal lateral flap consonant	ʎ̮	https://en.wikipedia.org/wiki/Palatal_lateral_flap
rounded near-close near-front vowel	ʏ	https://en.wikipedia.org/wiki/Near-close_near-front_rounded_vowel
voiced retroflex sibilant fricative consonant	ʐ	https://en.wikipedia.org/wiki/Voiced_retroflex_fricative
voiced alveolo-palatal sibilant fricative consonant	ʑ	https://en.wikipedia.org/wiki/Voiced_alveolo-palatal_fricative
voiced post-alveolar sibilant fricative consonant	ʒ	https://en.wikipedia.org/wiki/Voiced_postalveolar_fricative
voiceless glottal stop consonant	ʔ	https://en.wikipedia.org/wiki/voiceless_glottal_plosive
voiceless glottal affricate consonant	ʔh	https://en.wikipedia.org/wiki/voiceless_glottal_affricate
creaky-voiced glottal approximant consonant	ʔ̞	https://en.wikipedia.org/wiki/Creaky-voiced_glottal_approximant
voiced pharyngeal fricative consonant	ʕ	https://en.wikipedia.org/wiki/voiced_pharyngeal_fricative
voiceless labial click consonant	ʘ	https://en.wikipedia.org/wiki/Tenuis_bilabial_click
nasalized voiceless labial click consonant	ʘ̃	https://en.wikipedia.org/wiki/Bilabial_nasal_click
revoiced voiceless labial click consonant	ʘ̬	https://en.wikipedia.org/wiki/Voiced_bilabial_click
voiced bilabial trill consonant	ʙ	https://en.wikipedia.org/wiki/bilabial_trill
devoiced voiced bilabial trill consonant	ʙ̥	https://en.wikipedia.org/wiki/Voiceless_bilabial_trill
voiced uvular implosive consonant	ʛ	https://en.wikipedia.org/wiki/voiced_uvular_implosive
voiceless uvular implosive consonant	ʛ̥	https://en.wikipedia.org/wiki/voiceless_uvular_implosive
voiceless epiglottal fricative consonant	ʜ	https://en.wikipedia.org/wiki/Voiceless_epiglottal_trill
voiced palatal fricative consonant	ʝ	https://en.wikipedia.org/wiki/voiced_palatal_fricative
voiced velar lateral approximant consonant	ʟ	https://en.wikipedia.org/wiki/Velar_lateral_approximant
voiced velar lateral flap consonant	ʟ̆	https://en.wikipedia.org/wiki/Velar_lateral_flap
voiced velar lateral fricative consonant	ʟ̝	https://en.wikipedia.org/wiki/Voiced_velar_lateral_fricative
voiceless velar lateral fricative consonant	ʟ̝̊	https://en.wikipedia.org/wiki/Voiceless_velar_lateral_fricative
voiced uvular lateral approximant consonant	ʟ̠	https://en.wikipedia.org/wiki/Uvular_lateral_approximant
devoiced voiced velar lateral approximant consonant	ʟ̥	https://en.wikipedia.org/wiki/Voiceless_velar_lateral_approximant
voiceless epiglottal stop consonant	ʡ	https://en.wikipedia.org/wiki/Epiglottal_stop
from epiglottal stop to voiceless pharyngeal fricative cluster	ʡħ 	https://en.wikipedia.org/wiki/Voiceless_pharyngeal_affricate
epiglottal ejective stop consonant	ʡʼ 	https://en.wikipedia.org/wiki/Epiglottal_ejective
voiced epiglottal flap consonant	ʡ̮	https://en.wikipedia.org/wiki/Epiglottal_flap
voiced epiglottal fricative consonant	ʢ	https://en.wikipedia.org/wiki/Voiced_epiglottal_trill
voiced bilabial fricative consonant	β	https://en.wikipedia.org/wiki/voiced_bilabial_fricative
voiced bilabial approximant consonant	β̞	https://en.wikipedia.org/wiki/voiced_bilabial_approximant
voiceless dental fricative consonant	θ	https://en.wikipedia.org/wiki/voiceless_dental_fricative
voiceless dental ejective fricative consonant	θʼ	https://en.wikipedia.org/wiki/Dental_ejective_fricative
voiceless alveolar non-sibilant fricative consonant	θ̠	https://en.wikipedia.org/wiki/Voiceless_alveolar_non-sibilant_fricative
voiceless linguo-labial non-sibilant fricative consonant	θ̼	https://en.wikipedia.org/wiki/Voiceless_linguolabial_fricative
voiceless uvular fricative consonant	χ	https://en.wikipedia.org/wiki/voiceless_uvular_fricative
labialized voiceless uvular fricative consonant	χʷ	https://en.wikipedia.org/wiki/labialized_voiceless_uvular_fricative
voiceless uvular ejective fricative consonant	χʼ	https://en.wikipedia.org/wiki/Uvular_ejective_fricative
voiced retroflex implosive consonant	ᶑ	https://en.wikipedia.org/wiki/Voiced_retroflex_implosive
voiceless retroflex implosive consonant	ᶑ̥	https://en.wikipedia.org/wiki/Voiceless_retroflex_implosive
voiced labio-dental tap consonant	ⱱ	https://en.wikipedia.org/wiki/Labiodental_flap
voiced bilabial flap consonant	ⱱ̟	https://en.wikipedia.org/wiki/Bilabial_flap
